Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Nova Luzitânia (SP),74.2,37.1,478.1225509,68.26,21.96,1.96,19.31,217.54,0.5,55.6,40.14,0.74,79.32,84.55,4.69,1307,1529,140,203,2646,2749,2288,461,SP,Grupo 1
Nova Mamoré (RO),10113.4,1.5,240.8742906,63.12,39.9,3.2,23.19,132.46,0.7,70.77,63.79,0.659,60.5,83.05,3.72,2642,5964,162,390,7248,14778,7247,7531,RO,Grupo 1
Nova Marilândia (MT),1954.2,1.2,165.8396827,63.94,45.06,2.66,23.37,152.07,0.49,53.52,42.68,0.701,86.98,83.14,3.95,863,1175,40,100,2114,2354,1559,795,MT,Grupo 1
Nova Maringá (MT),11556.5,0.3,304.333437,70.71,23.46,3.04,22.75,253.97,0.58,57.16,40.74,0.74,63.98,82.16,4.03,1448,1716,66,71,3548,3950,2624,1326,MT,Grupo 1
Nova Monte Verde (MT),6527.7,1.0,642.9777294,67.43,32.94,2.76,19.35,183.84,0.57,50.99,47.22,0.722,75.71,84.64,3.81,2503,3212,115,178,6132,6827,2197,4630,MT,Grupo 1
Nova Módica (MG),378.2,10.8,299.8984967,66.72,39.52,2.86,42.14,121.31,0.57,42.22,49.6,0.659,74.55,68.81,3.2,1803,1986,266,315,4419,4100,2160,1940,MG,Grupo 1
Nova Mutum (MT),9463.8,1.6,195.3539558,71.03,22.63,2.69,6.38,395.34,0.62,64.09,40.96,0.801,71.85,94.03,6.18,4061,6846,253,252,10301,14818,10376,4442,MT,Grupo 1
Nova Odessa (SP),73.5,572.3000000000001,108.9369104,74.87,9.76,2.16,6.71,341.4,0.46,70.69,38.04,0.826,81.61,94.41,6.36,16787,23209,1415,2291,34063,42071,41110,961,SP,Grupo 1
Nova Olinda (TO),1723.9,5.4,281.8623967,60.11,63.01,2.79,32.59,138.11,0.63,50.42,49.01,0.643,77.9,73.19,3.48,2850,4072,250,463,7445,9385,6128,3257,TO,Grupo 1
Nova Olinda (CE),290.7,41.6,395.5903062,64.57,53.26,3.04,43.2,91.73,0.63,58.99,60.28,0.637,85.83,65.79,2.91,4508,5260,695,837,11354,12077,6393,5684,CE,Grupo 1
Nova Olinda (PB),132.1,48.9,352.7274103,64.57,43.79,3.34,48.87,61.51,0.57,53.63,62.6,0.605,84.34,62.05,2.53,2184,2592,276,336,6198,6457,3169,3288,PB,Grupo 1
Nova Olinda do Maranhão (MA),880.1,17.5,158.4730406,60.23,60.54,3.85,44.19,71.03,0.71,66.74,70.23,0.568,63.07,63.52,2.44,7256,5952,691,827,21277,15660,9398,6262,MA,Grupo 1
Nova Olinda do Norte (AM),5633.0,4.2,135.2436811,65.85,43.95,4.68,36.1,70.89,0.69,64.49,66.67,0.629,65.17,75.83,2.82,4405,8073,752,1130,12949,23725,10262,13463,AM,Grupo 1
Nova Olímpia (PR),134.3,39.3,442.9564662,70.23,18.19,2.4,26.53,189.52,0.55,46.99,37.79,0.74,86.43,79.7,4.34,2672,3067,336,500,5397,5280,4325,955,PR,Grupo 1
Nova Olímpia (MT),1518.6,9.3,155.5436134,69.16,27.73,3.79,19.38,198.17,0.5,58.51,40.07,0.742,85.78,82.21,4.35,5205,6055,413,300,12939,14186,12721,1465,MT,Grupo 1
Nova Palma (RS),352.1,17.900000000000002,224.8111786,73.15,14.67,2.43,5.72,278.76,0.52,47.79,41.47,0.803,79.53,94.14,5.62,3418,3489,462,515,6531,6312,2664,3648,RS,Grupo 1
Nova Palmeira (PB),197.9,18.0,178.5999624,63.33,48.28,2.34,35.29,84.79,0.48,43.97,48.97,0.632,78.03,72.43,3.26,1487,1780,251,300,3320,3573,2052,1521,PB,Grupo 1
Nova Pádua (RS),102.5,23.3,111.8125836,75.44,10.58,2.04,3.88,354.46,0.51,20.0,30.59,0.832,78.92,95.78,5.46,1634,1553,190,246,2689,2396,530,1866,RS,Grupo 1
Nova Petrópolis (RS),293.1,57.6,73.85934173,75.81,9.96,2.07,2.82,408.87,0.47,22.19,27.57,0.847,80.29,97.19,6.26,7863,10268,1176,1542,13791,16891,12208,4683,RS,Grupo 1
Nova Ponte (MG),1109.1,8.3,397.7010924,74.61,16.36,2.58,13.11,305.83,0.59,40.36,34.15,0.803,80.37,87.96,5.25,4944,4916,269,446,10147,9492,7541,1951,MG,Grupo 1
Nova Porteirinha (MG),121.5,60.7,451.3835615,67.88,35.47,2.58,30.39,114.52,0.6,42.53,47.05,0.685,77.25,77.68,3.27,2250,3116,162,259,6114,7389,4182,3207,MG,Grupo 1
Nova Prata (RS),259.1,70.7,143.5804414,73.83,13.38,2.05,4.27,390.05,0.5,61.87,31.85,0.839,89.53,95.52,6.62,8387,10776,917,1371,15076,18344,14419,3925,RS,Grupo 1
Nova Prata do Iguaçu (PR),344.6,30.1,409.1174691,70.77,17.08,2.66,18.67,197.97,0.54,42.53,43.44,0.754,82.82,84.84,4.28,5185,5378,507,631,11861,10397,5311,5086,PR,Grupo 1
Nova Ramada (RS),256.0,10.7,324.4846936,70.58,20.03,2.19,9.14,223.24,0.57,33.79,43.07,0.77,80.73,90.62,4.56,1248,1635,146,240,2453,2723,0,2723,RS,Grupo 1
Nova Redenção (BA),513.0,16.7,277.8058135,61.19,56.56,4.14,49.47,74.79,0.61,59.87,59.42,0.587,73.28,63.0,2.11,3444,3471,547,585,10318,8636,4492,4144,BA,Grupo 1
