Município,Área (km²),"Densidade demográfica, 2000",Distância à capital (km),"Esperança de vida ao nascer, 2000","Mortalidade até um ano de idade, 2000","Taxa de fecundidade total, 2000","Percentual de pessoas de 25 anos ou mais analfabetas, 2000","Renda per Capita, 2000","Índice de Gini, 2000","Intensidade da indigência, 2000","Intensidade da pobreza, 2000","Índice de Desenvolvimento Humano Municipal, 2000","Taxa bruta de freqüência à escola, 2000","Taxa de alfabetização, 2000","Média de anos de estudo das pessoas de 25 anos ou mais de idade, 2000","População de 25 anos ou mais de idade, 1991","População de 25 anos ou mais de idade, 2000","População de 65 anos ou mais de idade, 1991","População de 65 anos ou mais de idade, 2000","População total, 1991","População total, 2000","População urbana, 2000","População rural, 2000",Estado,Grupo
Santópolis do Aguapeí (SP),127.9,29.8,449.6229934,75.09,9.44,2.65,18.29,193.72,0.49,53.42,37.8,0.774,79.05,85.64,4.78,1761,1985,210,291,3845,3816,3587,229,SP,Grupo 1
Sapeaçu (BA),102.2,160.9,77.54720238,67.52,34.08,2.32,35.62,97.59,0.57,46.52,54.29,0.677,86.65,74.32,3.3,6023,7566,1107,1302,15192,16450,7524,8926,BA,Grupo 1
Sapezal (MT),12325.0,0.6,407.8934502,73.41,16.88,2.34,11.05,377.71,0.55,87.19,54.45,0.803,70.37,90.54,5.4,2883,3659,132,77,7066,7866,5493,2373,MT,Grupo 1
Sapé (PB),330.6,142.0,40.85917213,57.3,73.74,3.2,46.6,79.72,0.53,52.79,53.01,0.556,67.65,60.23,2.87,19214,21897,2955,3457,47280,47353,35516,11837,PB,Grupo 1
Sapiranga (RS),133.5,518.2,48.87320931,73.81,13.42,2.42,7.15,300.34,0.47,44.28,32.79,0.806,75.33,94.15,5.43,26466,35833,1922,2970,56240,69189,65785,3404,RS,Grupo 1
Sapopema (PR),672.0,10.2,214.0841681,71.31,16.02,2.92,31.07,126.21,0.5,38.0,41.38,0.698,70.48,76.28,3.5,3013,3301,360,458,7095,6872,3183,3689,PR,Grupo 1
Sapucaia (PA),1303.8,2.9,623.9587621,69.28,30.04,3.11,22.01,187.95,0.56,41.67,37.84,0.73,79.41,81.15,3.56,1907,1605,58,89,5214,3796,2682,1114,PA,Grupo 1
Sapucaia (RJ),541.7,31.7,105.3177127,68.83,20.82,2.34,20.79,249.97,0.56,48.86,35.22,0.742,73.95,83.18,4.91,7883,9718,952,1387,15429,17157,12161,4996,RJ,Grupo 1
Sapucaia do Sul (RS),58.0,2115.1,23.0932222,73.59,13.83,2.21,6.71,271.38,0.46,59.08,42.73,0.806,81.12,94.49,6.09,52204,65261,3600,5500,104885,122751,121813,938,RS,Grupo 7
Sapucaí-Mirim (MG),285.5,19.1,374.5668899,73.83,18.21,2.26,20.11,209.17,0.54,44.49,38.17,0.757,70.81,83.48,4.26,2020,2735,288,342,4274,5455,2654,2801,MG,Grupo 1
Saquarema (RJ),355.6,147.5,71.46760482,68.98,20.49,2.35,14.01,266.64,0.55,50.97,42.93,0.762,78.25,88.05,5.75,18373,28264,2075,3618,37888,52461,50422,2039,RJ,Grupo 1
Sarandi (PR),104.3,684.5,343.2631065,72.93,13.04,2.25,12.53,187.13,0.43,70.32,43.46,0.768,77.84,89.75,4.76,21665,36707,1713,3245,47981,71422,69493,1929,PR,Grupo 1
Sarandi (RS),342.8,52.9,284.5294684,70.11,21.1,2.2,7.63,292.42,0.56,41.01,38.2,0.791,83.33,93.17,6.09,7913,10144,935,1272,15394,18162,14262,3900,RS,Grupo 1
Sarapuí (SP),355.3,22.0,121.5163148,69.31,19.68,3.07,13.11,262.64,0.6,40.55,35.88,0.756,71.36,88.45,4.84,3025,3975,400,562,6477,7805,5103,2702,SP,Grupo 1
Sardoá (MG),141.9,33.6,202.5233351,69.62,29.84,2.83,29.06,110.84,0.57,46.07,50.14,0.684,71.39,76.79,3.57,1683,2036,209,268,4269,4775,1569,3206,MG,Grupo 1
Sarutaiá (SP),141.8,26.3,291.6110315,67.82,22.97,2.43,18.8,169.52,0.5,34.16,35.53,0.719,75.03,84.47,4.43,1458,1959,172,305,3023,3739,2827,912,SP,Grupo 1
Sarzedo (MG),62.1,277.6,31.25139912,70.07,28.47,2.69,10.98,184.11,0.45,54.39,36.67,0.748,72.49,91.14,5.09,4076,8119,242,575,9952,17274,14738,2536,MG,Grupo 1
Satuba (AL),42.7,294.1,15.03574759,68.93,30.5,2.49,25.06,129.55,0.56,46.46,50.57,0.705,85.49,77.01,5.2,3477,5755,317,496,9186,12555,9975,2580,AL,Grupo 1
Satubinha (MA),364.3,29.6,174.7295856,59.44,63.93,3.8,54.64,47.11,0.59,64.34,65.62,0.525,69.08,53.01,1.86,3254,4003,375,479,9220,10815,2263,8552,MA,Grupo 1
Saubara (BA),159.6,63.4,38.09946079,63.74,46.77,2.79,23.42,110.63,0.47,38.21,41.82,0.672,82.15,80.79,4.25,3445,4988,548,758,8016,10193,10076,117,BA,Grupo 1
Saudade do Iguaçu (PR),151.3,30.5,336.7078875,73.94,11.36,2.65,16.89,253.51,0.65,42.83,45.27,0.781,76.6,86.36,4.29,2080,2161,179,231,5011,4608,1987,2621,PR,Grupo 1
Saudades (SC),200.2,41.3,446.2415452,77.69,8.46,2.59,5.99,235.84,0.5,41.18,39.34,0.831,89.52,94.79,4.96,3805,4535,331,528,8220,8324,2897,5427,SC,Grupo 1
Saúde (BA),501.7,22.9,306.3579338,62.63,50.89,2.7,41.4,79.78,0.59,56.28,58.52,0.616,80.02,67.66,2.8,4630,5423,861,955,11389,11488,5991,5497,BA,Grupo 1
Sátiro Dias (BA),688.6,24.9,152.6516617,59.98,61.61,2.7,48.43,50.46,0.61,60.22,68.64,0.549,73.93,58.67,2.11,5385,7454,943,1257,13679,17251,3426,13825,BA,Grupo 1
São Benedito (CE),301.1,132.4,260.0579249,62.76,60.96,4.09,45.97,90.85,0.65,52.37,57.89,0.618,83.65,63.17,2.61,14236,16894,2263,2872,36700,39894,20970,18924,CE,Grupo 1
São Benedito do Rio Preto (MA),1130.0,14.7,124.010099,59.79,62.41,4.24,49.25,39.95,0.68,71.15,73.02,0.543,78.66,59.8,2.71,5062,5957,755,877,15057,16442,9173,7269,MA,Grupo 1
São Benedito do Sul (PE),209.3,50.1,144.4936559,60.9,78.55,3.63,58.4,58.55,0.57,54.72,60.31,0.549,75.82,51.65,2.02,3755,4408,621,716,9885,10477,5271,5206,PE,Grupo 1
São Bento (MA),585.3000000000001,54.4,60.38655033,58.66,67.42,2.94,36.92,66.89,0.54,52.2,56.82,0.592,77.32,72.44,3.48,10147,13037,1300,1907,27755,31819,16760,15059,MA,Grupo 1
São Bento (PB),256.7,101.8,293.9830196,67.54,34.04,2.44,42.65,112.25,0.5,47.62,44.5,0.638,70.15,61.52,2.9,8546,11883,1020,1304,21579,26225,20277,5948,PB,Grupo 1
São Bento Abade (MG),80.60000000000001,46.4,228.0742682,68.42,33.66,3.67,24.13,164.92,0.51,32.38,32.73,0.712,71.13,82.49,3.92,1120,1737,112,176,2556,3737,3452,285,MG,Grupo 1
São Bento de Pombal (PB),154.8,23.1,316.9832078,65.86,39.41,2.24,42.81,76.42,0.49,46.8,51.64,0.626,79.39,65.39,2.29,1649,1807,292,348,3883,3589,2228,1361,PB,Grupo 1
São Bento do Norte (RN),198.0,17.1,124.0039829,65.57,47.88,2.39,37.04,81.98,0.56,48.95,53.75,0.643,86.24,68.57,3.24,1070,1457,191,208,2626,3378,925,2453,RN,Grupo 1
São Bento do Sapucaí (SP),251.2,41.2,132.9090689,72.37,13.78,2.06,13.22,242.83,0.54,42.17,33.7,0.776,76.03,88.99,4.92,4354,5817,600,834,8695,10355,4627,5728,SP,Grupo 1
São Bento do Sul (SC),487.7,134.1,170.7787637,75.9,11.76,2.54,4.09,324.54,0.49,53.76,33.96,0.838,85.36,96.63,6.21,22820,32890,1683,2720,49787,65437,61826,3611,SC,Grupo 1
São Bento do Tocantins (TO),1437.6,2.6,473.4356133,60.41,61.71,4.07,33.69,69.29,0.61,67.19,64.33,0.612,81.51,74.35,2.98,1069,1451,121,170,2950,3738,1952,1786,TO,Grupo 1
São Bento do Trairi (RN),168.4,19.2,114.4844138,66.72,43.58,4.44,47.5,65.22,0.59,61.47,62.98,0.616,80.15,62.44,3.04,1339,1399,233,247,3239,3244,1644,1600,RN,Grupo 1
São Bento do Una (PE),715.9,63.3,179.5935854,62.05,72.4,4.77,46.18,155.61,0.78,54.04,56.72,0.623,70.32,60.45,3.02,17311,19906,2814,3255,42236,45360,23306,22054,PE,Grupo 1
São Bernardino (SC),210.4,14.9,454.5496511,69.96,26.04,4.21,15.29,186.32,0.58,41.81,47.9,0.748,81.6,86.62,3.91,2103,1495,133,129,5395,3140,529,2611,SC,Grupo 1
São Bernardo (MA),1228.3,18.2,228.6573177,56.52,77.55,4.69,50.25,47.6,0.63,66.66,67.93,0.538,77.96,61.51,2.62,6626,8727,956,1359,18890,22720,8764,13956,MA,Grupo 1
São Bernardo do Campo (SP),407.1,1720.5,17.76101981,69.93,18.38,1.95,6.01,505.45,0.56,72.58,53.51,0.834,91.93,95.02,7.69,288560,383708,19026,31276,566893,703177,690917,12260,SP,Grupo 3
São Bonifácio (SC),452.4,7.1000000000000005,50.37451284,75.23,13.11,2.97,7.06,196.33,0.46,33.3,34.29,0.785,71.54,93.82,4.66,1942,1945,256,339,3673,3218,682,2536,SC,Grupo 1
São Borja (RS),3615.4,17.900000000000002,486.8415813,72.34,16.27,2.16,10.87,246.99,0.6,49.86,41.61,0.798,91.6,90.96,5.89,29741,34413,3501,4349,60923,64869,57273,7596,RS,Grupo 1
São Braz do Piauí (PI),556.7,7.5,430.9437406,62.82,50.16,3.0,44.95,67.33,0.52,46.25,55.55,0.593,73.97,63.9,2.32,1567,1826,199,260,4524,4192,935,3257,PI,Grupo 1
São Brás (AL),140.6,46.6,137.574773,67.05,36.46,4.23,50.45,64.62,0.63,55.56,63.82,0.606,80.56,56.86,2.88,2422,2768,477,445,6313,6551,3021,3530,AL,Grupo 1
São Brás do Suaçuí (MG),110.7,29.6,89.78792671,69.03,31.69,2.47,10.96,168.99,0.55,39.5,41.36,0.743,76.44,91.76,4.85,1686,1870,236,318,3198,3282,2718,564,MG,Grupo 1
São Caetano de Odivelas (PA),727.3000000000001,21.5,95.11003697,69.49,29.38,3.68,19.7,95.26,0.47,31.39,44.73,0.7,78.79,84.52,4.02,5648,6163,633,792,15171,15595,6550,9045,PA,Grupo 1
São Caetano do Sul (SP),15.4,9100.3,12.01603479,78.18,5.38,1.56,3.11,834.0,0.5,77.19,50.66,0.919,98.57,97.01,8.75,90768,91019,12177,16270,149519,140159,140159,0,SP,Grupo 7
São Caitano (PE),373.9,89.3,142.0556474,59.82,84.55,3.29,47.91,93.86,0.6,59.26,56.72,0.58,74.14,57.39,2.87,12608,15558,2200,2668,29598,33426,22499,10927,PE,Grupo 1
São Carlos (SP),1143.9,168.70000000000002,213.1538302,73.08,12.57,2.42,7.33,456.25,0.52,67.91,38.23,0.841,89.61,94.36,7.4,84178,109677,10758,14279,158221,192998,183433,9565,SP,Grupo 7
São Carlos (SC),158.20000000000002,59.2,443.4916892,70.91,23.37,2.24,7.06,389.92,0.61,48.88,35.88,0.811,84.89,92.58,5.48,5032,5378,544,669,10442,9364,5347,4017,SC,Grupo 1
São Carlos do Ivaí (PR),215.9,27.3,400.264843,69.6,19.52,3.04,21.27,203.26,0.47,51.49,28.92,0.738,75.38,83.84,4.37,2411,3106,266,406,4972,5904,5252,652,PR,Grupo 1
São Cristovão do Sul (SC),350.8,13.1,190.1661005,74.4,14.87,2.32,14.4,165.44,0.5,42.57,39.43,0.764,76.05,88.43,4.3,1653,2201,112,189,3761,4504,2719,1785,SC,Grupo 1
São Cristóvão (SE),432.4,149.20000000000002,18.63459138,66.67,36.75,2.72,21.5,128.06,0.54,48.95,49.29,0.7,85.08,80.9,5.15,18496,28760,1915,2554,47558,64647,63116,1531,SE,Grupo 1
São Desidério (BA),14876.1,1.3,703.8091849,64.3,44.73,3.64,47.87,82.37,0.56,60.46,59.12,0.61,75.58,61.93,2.53,6699,7595,820,1005,18977,19006,7129,11877,BA,Grupo 1
São Domingos (SE),102.3,90.6,55.74825203,61.0,57.35,2.34,47.4,81.2,0.46,38.94,48.06,0.594,73.32,64.62,2.25,2881,4032,472,599,7752,9260,3904,5356,SE,Grupo 1
São Domingos (BA),252.1,33.8,197.8487319,60.88,57.84,2.75,32.52,89.52,0.45,39.18,44.19,0.624,76.04,74.75,2.99,4162,4129,537,576,10681,8526,3711,4815,BA,Grupo 1
São Domingos (SC),384.9,24.8,410.6184105,72.31,19.72,2.35,12.81,307.9,0.63,49.64,43.75,0.793,81.33,88.62,5.11,4994,5115,371,557,11272,9540,5430,4110,SC,Grupo 1
São Domingos (GO),3308.0,2.9,481.8295554,63.18,41.97,3.18,38.61,106.03,0.63,62.71,57.57,0.631,70.43,70.56,2.69,3877,4293,453,574,10330,9636,4434,5202,GO,Grupo 1
São Domingos das Dores (MG),61.3,84.8,206.0481848,71.19,25.19,2.69,22.41,171.83,0.57,39.88,42.56,0.723,61.89,83.91,3.51,1470,2216,141,223,3915,5192,2232,2960,MG,Grupo 1
São Domingos de Pombal (PB),228.2,10.9,341.2560537,58.15,69.74,2.24,48.38,71.22,0.53,53.13,56.26,0.561,75.43,59.05,1.98,1183,1227,211,212,2692,2498,910,1588,PB,Grupo 1
São Domingos do Araguaia (PA),1398.5,14.2,454.3020972,68.92,31.13,4.26,36.34,113.55,0.58,43.48,47.34,0.671,74.93,70.18,3.04,4253,7437,411,744,12296,20005,10878,9127,PA,Grupo 1
São Domingos do Azeitão (MA),879.6,7.1000000000000005,477.0987838,62.01,53.3,4.08,37.16,66.65,0.56,51.97,59.12,0.609,82.01,69.26,3.08,1724,2575,193,298,4354,6289,4079,2210,MA,Grupo 1
São Domingos do Capim (PA),1691.9,16.2,84.55382833,67.44,36.0,4.44,40.67,70.34,0.57,49.62,56.42,0.625,68.22,68.51,2.49,6386,9342,471,1019,18659,27405,5877,21528,PA,Grupo 1
São Domingos do Cariri (PB),239.8,9.1,182.4433812,70.51,25.52,2.15,33.3,93.53,0.51,47.12,49.64,0.675,76.34,72.38,2.93,866,1110,209,235,1867,2189,780,1409,PB,Grupo 1
São Domingos do Maranhão (MA),1323.6,25.4,338.593504,59.63,63.11,3.61,44.86,90.63,0.54,43.47,49.96,0.595,79.13,62.87,2.55,10143,13261,1315,1627,28266,33049,15980,17069,MA,Grupo 1
São Domingos do Norte (ES),298.90000000000003,25.3,133.9488875,67.01,31.95,2.43,22.23,165.51,0.54,43.21,47.51,0.71,71.97,84.78,4.23,2968,3976,373,547,6382,7547,2734,4813,ES,Grupo 1
São Domingos do Prata (MG),749.1,23.5,103.4069232,71.74,23.64,2.3,15.16,168.81,0.62,41.69,43.58,0.751,78.6,87.31,4.25,9120,9647,1436,1693,18742,17642,9122,8520,MG,Grupo 1
São Domingos do Sul (RS),81.2,34.9,178.6702402,74.5,12.17,2.07,9.12,301.03,0.46,80.0,38.17,0.812,81.43,92.31,5.54,1438,1718,199,257,2561,2831,1481,1350,RS,Grupo 1
São Felipe (BA),198.7,101.8,64.10246147,68.5,31.16,2.56,40.34,101.68,0.56,46.89,49.01,0.669,82.71,69.2,2.87,8380,9623,1515,1759,20107,20228,8250,11978,BA,Grupo 1
São Felipe d'Oeste (RO),546.5,12.9,436.7498315,66.62,29.15,2.83,23.24,138.72,0.55,47.03,47.8,0.694,72.62,82.3,3.19,2576,3205,157,256,6947,7056,1031,6025,RO,Grupo 1
São Fernando (RN),405.5,8.0,227.5739182,69.17,35.04,2.31,40.17,103.76,0.48,44.48,42.68,0.664,80.34,65.82,3.36,1601,1709,254,252,3504,3234,1479,1755,RN,Grupo 1
São Félix (BA),95.9,142.9,64.41741047,63.23,48.62,2.29,28.17,110.78,0.6,50.56,51.89,0.657,78.45,76.9,4.28,4960,6333,818,876,12182,13699,8748,4951,BA,Grupo 1
São Félix de Balsas (MA),2205.8,2.3000000000000003,509.0696215,62.01,53.3,3.97,38.43,66.42,0.55,53.92,60.24,0.595,73.68,67.44,2.6,2275,2128,264,249,6244,5144,1283,3861,MA,Grupo 1
São Félix de Minas (MG),166.3,20.8,292.807099,64.47,48.07,2.68,43.11,119.89,0.6,60.6,53.01,0.635,66.23,68.14,2.54,1621,1683,244,267,4016,3454,1492,1962,MG,Grupo 1
São Félix do Araguaia (MT),19009.7,0.6,734.1552563,66.29,36.66,3.3,20.94,195.27,0.63,60.5,55.9,0.726,84.06,83.62,4.88,2623,4805,165,477,6776,10687,5916,4771,MT,Grupo 1
São Félix do Coribe (BA),849.3000000000001,13.9,616.7996732,66.53,37.22,3.28,31.77,102.28,0.57,54.57,54.53,0.683,90.72,76.53,3.31,4307,5123,496,677,11916,11758,8552,3206,BA,Grupo 1
São Félix do Piauí (PI),648.6,5.2,120.7739731,65.76,39.73,2.84,45.79,84.17,0.56,52.0,56.96,0.624,79.74,62.0,3.0,1705,1674,241,297,3946,3397,1762,1635,PI,Grupo 1
São Félix do Tocantins (TO),1916.4,0.7000000000000001,183.0935141,57.96,72.89,2.82,25.8,73.67,0.73,76.47,63.53,0.611,77.85,80.14,3.08,307,462,28,53,831,1269,531,738,TO,Grupo 1
São Félix do Xingu (PA),84607.3,0.4,694.3316306,69.46,29.48,4.01,29.36,247.96,0.75,67.5,50.71,0.709,55.53,76.07,3.09,8800,13659,372,776,24891,34621,12530,22091,PA,Grupo 1
São Fidélis (RJ),1030.8,35.7,205.129117,69.07,20.29,2.04,17.08,212.84,0.55,31.26,37.8,0.741,78.48,84.01,4.99,17904,21075,2598,3564,34581,36789,26513,10276,RJ,Grupo 1
São Francisco (PB),127.2,27.2,360.6872348,67.15,35.24,2.24,44.42,77.88,0.48,44.68,50.5,0.632,79.06,64.38,2.32,1732,1853,305,334,3798,3464,1047,2417,PB,Grupo 1
São Francisco (SE),86.8,29.1,67.29775854,63.79,46.59,3.79,40.77,95.78,0.52,40.38,48.04,0.629,78.92,66.67,3.4,937,1183,156,149,2222,2532,2166,366,SE,Grupo 1
São Francisco (MG),3309.9,15.5,440.402245,69.21,31.13,4.38,31.44,86.45,0.63,57.81,59.93,0.68,81.36,77.2,3.48,16670,20481,1815,2631,46024,51497,27835,23662,MG,Grupo 1
São Francisco (SP),75.5,37.9,548.331519,72.97,12.75,2.1,19.71,197.82,0.49,39.15,31.99,0.758,79.57,83.18,4.47,1292,1685,151,265,2544,2863,2055,808,SP,Grupo 1
São Francisco de Assis (RS),2503.9,8.3,379.9795348,75.07,11.19,2.32,13.89,176.74,0.57,41.6,45.16,0.774,77.85,88.74,4.62,11387,12039,1587,1944,21149,20810,13728,7082,RS,Grupo 1
São Francisco de Assis do Piauí (PI),911.2,4.2,370.9571847,56.17,79.28,2.87,51.82,45.94,0.54,56.2,64.12,0.52,76.06,56.1,1.31,1259,1624,206,237,3272,3806,705,3101,PI,Grupo 1
São Francisco de Goiás (GO),373.8,16.1,83.12111262,70.17,20.94,2.49,23.76,169.99,0.55,44.21,40.22,0.726,78.15,80.31,4.32,2667,3134,274,354,6002,6028,4041,1987,GO,Grupo 1
São Francisco de Itabapoana (RJ),1117.6,36.7,291.8226944,69.07,20.29,2.56,29.58,156.0,0.62,44.13,43.66,0.688,64.62,74.99,3.3,17018,20602,2264,2861,38714,41145,19228,21917,RJ,Grupo 1
São Francisco de Paula (MG),317.3,20.6,146.1239557,69.2,31.16,2.7,22.38,165.05,0.51,41.38,35.86,0.714,69.64,82.17,3.71,2748,3283,324,480,6152,6533,4152,2381,MG,Grupo 1
São Francisco de Paula (RS),3333.6,6.0,90.05782927,68.96,23.87,3.2,12.76,239.33,0.55,59.46,40.51,0.757,74.28,90.46,5.22,9845,10866,1407,1562,19251,19725,12269,7456,RS,Grupo 1
São Francisco de Sales (MG),1132.0,4.7,608.1141084,73.9,18.05,2.37,18.14,235.77,0.56,58.58,38.14,0.771,74.65,84.78,4.33,2283,2801,206,342,4941,5274,3431,1843,MG,Grupo 1
São Francisco do Brejão (MA),734.7,9.6,447.0361864,62.31,52.12,3.92,36.95,91.6,0.58,47.34,53.41,0.629,75.52,72.91,2.67,2357,2765,200,310,6897,7062,3833,3229,MA,Grupo 1
São Francisco do Conde (BA),267.6,97.9,42.28523115,66.34,37.84,2.51,20.16,133.07,0.62,54.92,55.64,0.714,92.52,83.17,4.79,7512,11312,741,1026,20238,26282,21870,4412,BA,Grupo 1
São Francisco do Glória (MG),164.5,34.6,206.4250987,68.4,33.72,2.58,27.17,154.2,0.5,44.98,40.27,0.692,63.31,79.33,3.74,3017,2964,435,501,6365,5696,3101,2595,MG,Grupo 1
São Francisco do Guaporé (RO),10961.0,1.0,367.4239399,68.49,24.19,3.39,20.81,239.08,0.54,56.02,37.19,0.72,53.63,85.38,3.69,2129,4582,95,196,5820,11085,5226,5859,RO,Grupo 1
São Francisco do Maranhão (MA),2772.1,4.6000000000000005,443.4597759,62.48,51.47,3.73,52.84,50.57,0.61,63.08,68.36,0.555,71.8,56.09,2.15,5088,5504,712,823,12917,12854,3205,9649,MA,Grupo 1
São Francisco do Oeste (RN),76.3,45.6,325.9164494,67.34,41.33,2.34,39.86,92.35,0.57,56.4,55.95,0.652,82.85,67.0,3.42,1220,1733,179,262,2795,3480,2456,1024,RN,Grupo 1
São Francisco do Pará (PA),476.1,29.8,84.97485304,66.84,38.08,3.62,25.76,123.8,0.57,46.91,48.97,0.69,75.23,81.88,3.96,4339,5925,498,711,11619,14245,4907,9338,PA,Grupo 1
São Francisco do Piauí (PI),1428.1,4.4,241.9391943,58.84,66.61,3.42,46.73,58.21,0.57,57.98,63.53,0.559,76.37,61.08,2.17,2558,2807,373,443,6675,6356,1787,4569,PI,Grupo 1
São Francisco do Sul (SC),541.8,59.5,150.714643,73.67,16.5,2.19,5.38,333.42,0.61,60.25,44.72,0.82,82.91,94.59,6.4,11340,16847,1418,2031,23277,32301,29930,2371,SC,Grupo 1
São Gabriel (BA),1229.1,15.0,417.136966,59.19,65.05,2.95,33.55,105.9,0.74,60.63,62.7,0.619,74.91,72.81,3.08,6198,7595,693,827,17884,18412,9811,8601,BA,Grupo 1
São Gabriel (RS),6011.2,10.3,298.6986834,72.16,16.62,2.6,13.11,253.3,0.61,47.87,40.38,0.78,79.75,88.55,5.68,31127,35253,3892,4960,58783,62249,53197,9052,RS,Grupo 1
São Gabriel da Cachoeira (AM),109669.0,0.3,851.2251501,68.6,34.2,3.21,33.99,106.61,0.81,88.35,70.92,0.673,68.38,76.85,3.9,8762,11783,938,1096,23140,29947,12373,17574,AM,Grupo 1
São Gabriel da Palha (ES),434.6,61.2,146.1540598,68.79,26.85,2.11,18.54,242.48,0.56,29.05,38.28,0.742,68.34,86.73,4.86,10804,13528,1238,1634,23887,26588,18365,8223,ES,Grupo 1
São Gabriel do Oeste (MS),3866.1,4.4,116.7532784,71.47,21.55,2.26,12.22,425.19,0.69,48.94,36.94,0.808,77.21,91.4,5.74,5296,8272,224,534,12034,16821,13631,3190,MS,Grupo 1
São Geraldo (MG),189.3,40.7,169.6005771,71.17,25.24,2.53,20.76,173.97,0.54,38.95,38.86,0.732,73.11,82.31,4.2,4015,4328,693,781,7790,7716,5344,2372,MG,Grupo 1
São Geraldo da Piedade (MG),154.0,32.5,206.0894143,66.72,39.52,2.95,38.29,100.52,0.58,48.07,53.38,0.647,66.54,72.39,2.83,1830,2182,215,345,5063,5015,1126,3889,MG,Grupo 1
São Geraldo do Araguaia (PA),3283.7000000000003,8.4,549.5174675,69.9,28.13,3.64,32.91,136.06,0.63,37.3,48.18,0.691,70.84,74.44,3.02,8189,10843,692,1041,23894,27646,11933,15713,PA,Grupo 1
São Geraldo do Baixio (MG),280.90000000000003,10.2,290.6022355,69.38,30.57,2.79,31.41,137.52,0.56,39.2,46.05,0.695,71.92,76.36,3.31,1253,1463,132,203,2870,2864,1522,1342,MG,Grupo 1
São Gonçalo (RJ),251.3,3540.9,17.88699208,69.51,19.36,1.9,6.59,268.79,0.49,60.89,43.44,0.782,80.57,94.19,6.71,410344,507185,34870,54092,779832,891119,891119,0,RJ,Grupo 6
São Gonçalo do Abaeté (MG),2695.9,2.0,256.6350202,70.66,26.71,2.97,17.43,176.64,0.56,40.33,40.62,0.739,75.54,85.29,4.39,2746,2704,301,351,6279,5432,3895,1537,MG,Grupo 1
São Gonçalo do Amarante (CE),845.8000000000001,41.7,48.82416323,65.36,50.06,2.53,36.41,81.06,0.57,50.9,53.95,0.639,80.9,70.03,3.23,11528,15681,1622,2218,29286,35608,22077,13531,CE,Grupo 1
São Gonçalo do Amarante (RN),261.7,265.0,13.26813972,69.11,35.26,3.23,28.61,116.4,0.51,50.3,47.96,0.695,81.65,76.41,4.5,17974,31138,2143,3107,45461,69435,9798,59637,RN,Grupo 1
São Gonçalo do Gurguéia (PI),1237.9,1.9,614.2453792,57.67,71.95,4.72,38.73,68.75,0.57,50.07,58.42,0.579,76.86,68.58,2.66,745,934,82,124,2131,2322,873,1449,PI,Grupo 1
São Gonçalo do Pará (MG),266.4,29.9,96.1358659,69.62,29.84,2.27,11.9,194.44,0.48,52.05,32.22,0.744,71.54,89.29,4.6,3786,4446,508,634,7541,7969,6213,1756,MG,Grupo 1
São Gonçalo do Piauí (PI),136.0,31.2,101.0474603,66.57,37.07,2.61,39.11,79.2,0.53,50.25,56.05,0.643,87.94,65.97,4.1,1625,1874,182,236,4031,4249,3266,983,PI,Grupo 1
São Gonçalo do Rio Abaixo (MG),365.7,23.1,62.10272522,67.4,37.12,2.3,21.11,131.17,0.54,33.85,40.33,0.702,73.35,84.91,3.95,3670,4149,492,556,8322,8462,3759,4703,MG,Grupo 1
São Gonçalo do Rio Preto (MG),314.2,9.4,210.032432,59.41,71.09,2.75,31.93,119.51,0.59,48.27,50.41,0.635,79.66,74.27,3.79,1261,1344,187,171,2996,2963,1724,1239,MG,Grupo 1
São Gonçalo do Sapucaí (MG),519.3,42.8,286.5756949,72.12,22.61,2.84,13.17,238.26,0.56,39.7,31.69,0.769,71.56,89.45,5.38,9450,11645,1161,1556,19611,22308,18132,4176,MG,Grupo 1
São Gonçalo dos Campos (BA),295.5,91.3,77.57140074,63.45,47.81,2.55,30.02,112.58,0.57,40.76,47.34,0.667,84.56,77.41,4.01,9685,12459,1431,1990,24288,27000,13552,13448,BA,Grupo 1
São Gotardo (MG),856.3000000000001,32.3,226.2430304,72.5,21.59,2.22,12.57,487.48,0.73,53.65,34.24,0.807,70.37,88.18,5.16,9626,14191,1058,1518,19697,27631,25523,2108,MG,Grupo 1
São Jerônimo (RS),970.2,20.9,48.05709472,71.45,18.11,2.17,12.57,303.75,0.62,55.79,44.19,0.79,82.25,89.16,5.68,9966,11295,1209,1557,19399,20283,15611,4672,RS,Grupo 1
São Jerônimo da Serra (PR),826.6,14.2,240.1831758,65.78,28.86,3.13,32.71,140.67,0.59,43.11,47.87,0.674,76.38,73.61,3.46,5651,5786,632,785,13275,11750,5331,6419,PR,Grupo 1
São Joaquim (SC),1888.1,12.1,156.2961969,70.38,24.83,2.54,9.59,231.09,0.57,33.33,36.26,0.766,77.55,90.22,5.45,10605,12479,1056,1337,22295,22836,16129,6707,SC,Grupo 1
São Joaquim da Barra (SP),413.4,100.6,352.7763192,71.99,14.46,2.0,8.94,338.37,0.54,62.24,37.23,0.81,85.71,92.42,5.88,18268,22975,2022,2809,35964,41587,40799,788,SP,Grupo 1
São Joaquim de Bicas (MG),72.7,249.7,42.04896598,64.91,46.33,2.63,16.91,164.22,0.53,44.39,42.18,0.707,77.76,86.03,4.47,4689,8370,386,831,11443,18152,13716,4436,MG,Grupo 1
